0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:17:29 +0530] "GET /MegaCityCabs/customer/myBookings.html HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:17:33 +0530] "GET /MegaCityCabs/customer/myBookings.html HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:17:37 +0530] "GET /MegaCityCabs/customer/my_bookings.html HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:17:47 +0530] "GET /MegaCityCabs/customer/booking.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:17:56 +0530] "GET /MegaCityCabs/authentication/signIn.jsp HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:17:56 +0530] "GET /MegaCityCabs/authentication/images/logo.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:18:04 +0530] "GET /MegaCityCabs/authentication/signIn.jsp HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:18:04 +0530] "GET /MegaCityCabs/authentication/images/logo.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:18:17 +0530] "GET /MegaCityCabs/customer/booking.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:18:38 +0530] "GET /MegaCityCabs/authentication/signIn.jsp HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:18:38 +0530] "GET /MegaCityCabs/authentication/images/logo.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:19:00 +0530] "GET /MegaCityCabs/authentication/signIn.jsp HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:19:00 +0530] "GET /MegaCityCabs/authentication/images/logo.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:19:47 +0530] "GET /MegaCityCabs/customer/customer/help.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:19:50 +0530] "GET /MegaCityCabs/customer/help.jsp HTTP/1.1" 200 5569
